gender,num_of_prev_attempts,studied_credits,disability,date_registration,sum_click,date_submitted,score,weight,module_presentation_length,A Level or Equivalent,Lower Than A Level,HE Qualification,Post Graduate Qualification,No Formal quals,0-10IMD,10-20IMD,20-30IMD,30-40IMD,40-50IMD,50-60IMD,60-70IMD,70-80IMD,80-90IMD,90-100IMD,0-35,35-55,55<=,final_result
0,0,30,0,-43,770,32,84,16,268,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,0,90,1,-31,1104,31,83,16,268,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
0,0,30,0,-35,518,36,61,16,268,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
0,0,90,0,-95,423,40,47,16,268,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
0,0,30,1,-31,1074,33,77,16,268,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0,120,0,-28,1553,33,100,16,268,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,0,60,0,-19,774,32,88,16,268,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0,0,60,0,-52,651,34,58,16,268,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,90,0,-100,1138,30,80,16,268,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0,60,0,-149,1144,32,83,16,268,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
1,0,90,0,-102,3120,27,90,16,268,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
0,0,60,0,-30,884,32,63,16,268,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
0,0,60,0,-22,1888,32,92,16,268,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
0,0,60,0,-185,290,32,79,16,268,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0,60,0,-32,715,32,79,16,268,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,0,60,0,-190,1879,32,76,16,268,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0,60,1,-156,2086,31,84,16,268,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0,0,30,0,-116,503,33,57,16,268,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,60,0,-22,2061,32,71,16,268,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,60,0,-149,1063,32,100,16,268,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
0,0,30,0,-12,505,33,87,16,268,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0,0,90,0,-32,954,32,95,16,268,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0,0,60,0,-165,1611,32,95,16,268,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
0,0,60,0,-94,1136,31,72,16,268,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,30,0,-95,652,40,60,16,268,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,0,30,0,-193,754,33,91,16,268,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
0,0,60,0,-191,2249,29,82,16,268,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1,0,60,0,-150,3472,31,92,16,268,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1,0,60,0,-130,537,32,92,16,268,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
0,0,60,0,-154,1257,30,92,16,268,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
